title,category,author,price_gbp,price_raw,rating,availability,upc,num_reviews,description_short,url,scraped_at
"Saga, Volume 6 (Saga (Collected Editions) #6)",Fantasy,,25.02,£25.02,3,In stock (16 available),c849f0b2f5d6a742,0,Product Description,https://books.toscrape.com/catalogue/saga-volume-6-saga-collected-editions-6_924/index.html,2026-03-31T13:23:45.068659+00:00
"Saga, Volume 5 (Saga (Collected Editions) #5)",Sequential Art,,51.04,£51.04,2,In stock (16 available),53a3d11bb568cc8b,0,Product Description,https://books.toscrape.com/catalogue/saga-volume-5-saga-collected-editions-5_923/index.html,2026-03-31T13:23:46.717805+00:00
Reskilling America: Learning to Labor in the Twenty-First Century,Nonfiction,,19.83,£19.83,2,In stock (16 available),d7310206583a54b6,0,Product Description,https://books.toscrape.com/catalogue/reskilling-america-learning-to-labor-in-the-twenty-first-century_922/index.html,2026-03-31T13:23:48.459095+00:00
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",Sequential Art,,50.4,£50.40,3,In stock (16 available),c82a3e358c773c73,0,Product Description,https://books.toscrape.com/catalogue/rat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/index.html,2026-03-31T13:23:50.100852+00:00
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",Sequential Art,,13.61,£13.61,5,In stock (16 available),0fa6dceead7ce47a,0,Product Description,https://books.toscrape.com/catalogue/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html,2026-03-31T13:23:53.477597+00:00
Princess Between Worlds (Wide-Awake Princess #5),Fantasy,,13.34,£13.34,5,In stock (16 available),0e691eda369f4e09,0,Product Description,https://books.toscrape.com/catalogue/princess-between-worlds-wide-awake-princess-5_919/index.html,2026-03-31T13:23:55.188410+00:00
"Pop Gun War, Volume 1: Gift",Sequential Art,,18.97,£18.97,1,In stock (16 available),e80f8e518b300dfe,0,Product Description,https://books.toscrape.com/catalogue/pop-gun-war-volume-1-gift_918/index.html,2026-03-31T13:23:56.878701+00:00
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",History,,36.28,£36.28,2,In stock (16 available),7392c0032f92d816,0,Product Description,https://books.toscrape.com/catalogue/political-suicide-missteps-peccadilloes-bad-calls-backroom-hijinx-sordid-pasts-rotten-breaks-and-just-plain-dumb-mistakes-in-the-annals-of-american-politics_917/index.html,2026-03-31T13:23:58.565315+00:00
Patience,Sequential Art,,10.16,£10.16,3,In stock (16 available),9429b4d59c537af5,0,Product Description,https://books.toscrape.com/catalogue/patience_916/index.html,2026-03-31T13:24:00.271994+00:00
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",Sequential Art,,15.44,£15.44,4,In stock (16 available),889139b8e9c4cb36,0,Product Description,https://books.toscrape.com/catalogue/outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html,2026-03-31T13:24:01.932492+00:00
orange: The Complete Collection 1 (orange: The Complete Collection #1),Sequential Art,,48.41,£48.41,1,In stock (16 available),11809b1d323b3057,0,Product Description,https://books.toscrape.com/catalogue/orange-the-complete-collection-1-orange-the-complete-collection-1_914/index.html,2026-03-31T13:24:03.581562+00:00
Online Marketing for Busy Authors: A Step-By-Step Guide,Self Help,,46.35,£46.35,1,In stock (16 available),9ffa38d3b832433a,0,Product Description,https://books.toscrape.com/catalogue/online-marketing-for-busy-authors-a-step-by-step-guide_913/index.html,2026-03-31T13:24:05.207854+00:00
On a Midnight Clear,Add a comment,,14.07,£14.07,3,In stock (16 available),b757c0c361e689ce,0,Product Description,https://books.toscrape.com/catalogue/on-a-midnight-clear_912/index.html,2026-03-31T13:24:06.814530+00:00
Obsidian (Lux #1),Young Adult,,14.86,£14.86,2,In stock (16 available),3c346ab1e76ae1f6,0,Product Description,https://books.toscrape.com/catalogue/obsidian-lux-1_911/index.html,2026-03-31T13:24:08.424062+00:00
My Paris Kitchen: Recipes and Stories,Food and Drink,,33.37,£33.37,2,In stock (16 available),784bc2279baa878d,0,Product Description,https://books.toscrape.com/catalogue/my-paris-kitchen-recipes-and-stories_910/index.html,2026-03-31T13:24:09.966716+00:00
Masks and Shadows,Fantasy,,56.4,£56.40,2,In stock (16 available),fa9610a50a1bf149,0,Product Description,https://books.toscrape.com/catalogue/masks-and-shadows_909/index.html,2026-03-31T13:24:11.577159+00:00
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",Food and Drink,,14.02,£14.02,4,In stock (16 available),72f9d5be3472d34e,0,Product Description,https://books.toscrape.com/catalogue/mama-tried-traditional-italian-cooking-for-the-screwed-crude-vegan-and-tattooed_908/index.html,2026-03-31T13:24:13.269928+00:00
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",Sequential Art,,46.91,£46.91,2,In stock (16 available),460089f796fb3f82,0,Product Description,https://books.toscrape.com/catalogue/lumberjanes-vol-2-friendship-to-the-max-lumberjanes-5-8_907/index.html,2026-03-31T13:24:14.856311+00:00
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",Sequential Art,,45.61,£45.61,3,In stock (16 available),b6ee99bcf06fc91f,0,Product Description,https://books.toscrape.com/catalogue/lumberjanes-vol-1-beware-the-kitten-holy-lumberjanes-1-4_906/index.html,2026-03-31T13:24:16.513113+00:00
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),Sequential Art,,19.92,£19.92,2,In stock (16 available),57e5a4d515c8ce44,0,Product Description,https://books.toscrape.com/catalogue/lumberjanes-vol-3-a-terrible-plan-lumberjanes-9-12_905/index.html,2026-03-31T13:24:18.261182+00:00
"Layered: Baking, Building, and Styling Spectacular Cakes",Food and Drink,,40.11,£40.11,1,In stock (16 available),7b75cc7f223791f4,0,Product Description,https://books.toscrape.com/catalogue/layered-baking-building-and-styling-spectacular-cakes_904/index.html,2026-03-31T13:24:19.853307+00:00
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),Add a comment,,53.9,£53.90,2,In stock (16 available),228f74b74f3a08ae,0,Product Description,https://books.toscrape.com/catalogue/judo-seven-steps-to-black-belt-an-introductory-guide-for-beginners_903/index.html,2026-03-31T13:24:21.590871+00:00
Join,Science Fiction,,35.67,£35.67,5,In stock (16 available),18ad3ed896c7ce05,0,Product Description,https://books.toscrape.com/catalogue/join_902/index.html,2026-03-31T13:24:23.238652+00:00
In the Country We Love: My Family Divided,Nonfiction,,22.0,£22.00,4,In stock (16 available),b136b1b180ca753a,0,Product Description,https://books.toscrape.com/catalogue/in-the-country-we-love-my-family-divided_901/index.html,2026-03-31T13:24:24.879410+00:00
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,Science,,57.36,£57.36,5,In stock (16 available),e4f74c16de34d440,0,Product Description,https://books.toscrape.com/catalogue/immunity-how-elie-metchnikoff-changed-the-course-of-modern-medicine_900/index.html,2026-03-31T13:24:28.233368+00:00
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",Sequential Art,,29.17,£29.17,2,In stock (16 available),8d4eefad7a2b3915,0,Product Description,https://books.toscrape.com/catalogue/i-hate-fairyland-vol-1-madly-ever-after-i-hate-fairyland-compilations-1-5_899/index.html,2026-03-31T13:24:29.888499+00:00
I am a Hero Omnibus Volume 1,Sequential Art,,54.63,£54.63,3,In stock (16 available),1c89ae5bb804e4de,0,Product Description,https://books.toscrape.com/catalogue/i-am-a-hero-omnibus-volume-1_898/index.html,2026-03-31T13:24:31.553173+00:00
How to Be Miserable: 40 Strategies You Already Use,Self Help,,46.03,£46.03,1,In stock (16 available),a6f99b9e687f9d46,0,Product Description,https://books.toscrape.com/catalogue/how-to-be-miserable-40-strategies-you-already-use_897/index.html,2026-03-31T13:24:33.134739+00:00
Her Backup Boyfriend (The Sorensen Family #1),Romance,,33.97,£33.97,1,In stock (16 available),2a97cffe61c3c4c7,0,Product Description,https://books.toscrape.com/catalogue/her-backup-boyfriend-the-sorensen-family-1_896/index.html,2026-03-31T13:24:34.750157+00:00
